"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"War-crime pardons could be most Nixonian moment yet","","Lane, Charles","Orlando Sentinel","Newspapers","","","","2019-05-25","May 25, 2019","A.15","","","","","","ENG","https://www.proquest.com/docview/2229864452?accountid=11226&bdid=72302&_bd=RDKjO2sOcCz9ZsZwogJRPCinPBs%3D",""
"New tech aims to help solve more shootings","","Gorner, Jeremy","Chicago Tribune","Newspapers","","","","2019-04-07","Apr 7, 2019","4","","","10856706","","","ENG","https://www.proquest.com/docview/2204188155?accountid=11226&bdid=72302&_bd=r7FuLsLqvj%2Bj4%2B4RaHSNW4wAEJ8%3D",""
"World News: Rio War on Crime Hits Young, Poor","","Pearson, Samantha; Magalhaes, Luciana","Wall Street Journal","Newspapers","","","","2019-10-10","Oct 10, 2019","A.11","","","00999660","","","ENG","https://www.proquest.com/docview/2302962775?accountid=11226&bdid=72302&_bd=MwHIAmvdnKL1urW%2BCatrvfrfFQo%3D",""
"'Utter madman' killed 7, including himself; will motive ever be known?","","","Arizona Republic","Newspapers","","","","2019-02-17","Feb 17, 2019","A.1","","","08928711","","","ENG","https://www.proquest.com/docview/2635472939?accountid=11226&bdid=72302&_bd=r2jOb6Rwbohs3P5aObP34ChEams%3D",""
"Judges rein in parts of Illinois stalking law as unconstitutional","But victims' advocates worry that women are more vulnerable","McCoppin, Robert","Chicago Tribune","Newspapers","","","","2019-11-30","Nov 30, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2319697388?accountid=11226&bdid=72302&_bd=2YuqgBR7fnpU%2F8OfveR3oDhDlXs%3D",""
"Rally at St. Louis City Hall backs spending more on social services, less on policing","","Schlinkmann, Mark","St. Louis Post - Dispatch","Newspapers","","","","2019-08-30","Aug 30, 2019","A.5","","","19309600","","","ENG","https://www.proquest.com/docview/2282420947?accountid=11226&bdid=72302&_bd=XNrNOP%2FW2EEtYGGjgd9Glk8HMXc%3D",""
"'First Love' is a violent Takashi Miike romp","","Vandenburgh, Barbara","Arizona Republic","Newspapers","","","","2019-10-11","Oct 11, 2019","C.2","","","08928711","","","ENG","https://www.proquest.com/docview/2303584508?accountid=11226&bdid=72302&_bd=xg7BhUip7Bz6uDrPbggHuHRlTog%3D",""
"U.S. News: Police Report Slow Progress on Star's Attack","","Ailworth, Erin; Elinson, Zusha","Wall Street Journal","Newspapers","","","","2019-02-09","Feb 9, 2019","A.3","","","00999660","","","ENG","https://www.proquest.com/docview/2177537407?accountid=11226&bdid=72302&_bd=2K%2BDQnFwL4ynbYyDBrWmehb7akM%3D",""
"U.S. News: Police Release Files on Smollett","","Ailworth, Erin; Barrett, Joe","Wall Street Journal","Newspapers","","","","2019-03-28","Mar 28, 2019","A.3","","","00999660","","","ENG","https://www.proquest.com/docview/2198382139?accountid=11226&bdid=72302&_bd=vBWF7wOSUe2nm349iVKt9TsmGGM%3D",""
"Upward Mobility: Biden Opposed Quotas in 1975--and He Was Right","","Riley, Jason L","Wall Street Journal","Newspapers","","","","2019-03-13","Mar 13, 2019","A.21","","","","","","ENG","https://www.proquest.com/docview/2266090411?accountid=11226&bdid=72302&_bd=s6zLazRHuV%2BeKLusqCVCeFll0ug%3D",""
"Slain group part of family with a past; Victims were related to a fundamentalist Mormon community with a violent history.","","Kaleem, Jaweed","Los Angeles Times","Newspapers","","","","2019-11-06","Nov 6, 2019","A.4","","A.4","04583035","","","ENG","https://www.proquest.com/docview/2312103589?accountid=11226&bdid=72302&_bd=wpKYzo7Yzfz1tm8TLW1XEl7lXB4%3D",""
"Schools Are Safer, Even If They Feel Less So","","Goldstein, Dana","New York Times","Newspapers","","","","2019-04-20","Apr 20, 2019","p. A.9","","","","","","ENG","https://www.proquest.com/docview/2262307388?accountid=11226&bdid=72302&_bd=w9vYIfHK5kd%2Bg7zUzd1s4rfWYSY%3D",""
"Gorsuch sides with liberals on gun violence case","","Savage, David G","Los Angeles Times","Newspapers","","","","2019-06-25","Jun 25, 2019","A.8","","A.8","04583035","","","ENG","https://www.proquest.com/docview/2246048836?accountid=11226&bdid=72302&_bd=qarzkZvSw4%2BdAdCTaMnOcYs3H1k%3D",""
"Digest for Tuesday paper","","","St. Louis Post - Dispatch","Newspapers","","","","2019-12-31","Dec 31, 2019","A.6","","","19309600","","","ENG","https://www.proquest.com/docview/2331413368?accountid=11226&bdid=72302&_bd=i%2BdXtjIjWuKrQMXDIf%2BL9fYeF0U%3D",""
"'Type of Weapon Matters': Linking Caliber Size to Death Rate","","Sanger-Katz, Margot; Bui, Quoctrung","New York Times","Newspapers","","","","2019-03-28","Mar 28, 2019","A.16","","","","","","ENG","https://www.proquest.com/docview/2266163554?accountid=11226&bdid=72302&_bd=%2FGxcZ3JOx1LyICQzd0CpR0rOFPM%3D",""
"FBI Shifts Core Focus To Fight Cyber Threat","","Volz, Dustin; Tau, Byron","Wall Street Journal","Newspapers","","","","2019-03-30","Mar 30, 2019","A.1","","","00999660","","","ENG","https://www.proquest.com/docview/2199706668?accountid=11226&bdid=72302&_bd=JpFsSUoxL4kyLbMWT2yYaw%2FsO4Q%3D",""
"Kim Foxx: I welcome an outside review","","Foxx, Kim","Chicago Tribune","Newspapers","","","","2019-03-31","Mar 31, 2019","25","","","10856706","","","ENG","https://www.proquest.com/docview/2200155775?accountid=11226&bdid=72302&_bd=dHRxAM1s%2Fxrn12nkRehc6rmhjL0%3D",""
"Chief says LAPD to alter predictive crime program; Protesters urge police panel to end 'chronic offenders' initiative, saying it's biased.","","Puente, Mark","Los Angeles Times","Newspapers","","","","2019-03-13","Mar 13, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2190298684?accountid=11226&bdid=72302&_bd=MLVQXcXNN5C03Nh48T%2FsFM9rL6s%3D",""
"8chan on Web Is Dark Refuge for Extremists","","Roose, Kevin","New York Times","Newspapers","","","","2019-08-05","Aug 5, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2314044501?accountid=11226&bdid=72302&_bd=mCPmHMgs76addBafAyhSH%2B%2ByMbA%3D",""
"Proposed Missouri law would better track, consistently sentence carjackers, backers say","","Byers, Christine","St. Louis Post - Dispatch","Newspapers","","","","2019-02-26","Feb 26, 2019","A.5","","","19309600","","","ENG","https://www.proquest.com/docview/2185859663?accountid=11226&bdid=72302&_bd=4t3SEsCoKTnVd5Rryf1tiuy8lVs%3D",""
"Lettters to the editor, June 27","","","St. Louis Post - Dispatch","Newspapers","","","","2019-06-27","Jun 27, 2019","A.10","","","19309600","","","ENG","https://www.proquest.com/docview/2248506204?accountid=11226&bdid=72302&_bd=QI9oasX4iX7cOomKpKpOHNtrWyc%3D",""
"The FBI tactic used to arrest terror suspects; More domestic targets were held last year and charged with simpler crimes to prevent attacks.","","Devlin, Barrett","Los Angeles Times","Newspapers","","","","2019-03-10","Mar 10, 2019","A.16","","A.16","04583035","","","ENG","https://www.proquest.com/docview/2189253605?accountid=11226&bdid=72302&_bd=l2NJo2ZccmqCF3SCYo18ZL6cmc4%3D",""
"Fla. misses big opportunity on criminal justice reform; SOUTH FLORIDA SUN SENTINEL EDITORIAL","","","Orlando Sentinel","Newspapers","","","","2019-05-11","May 11, 2019","A.10","","","","","","ENG","https://www.proquest.com/docview/2222877951?accountid=11226&bdid=72302&_bd=nZ5rgTdXZLBxpn9TrHtmmdUFyq0%3D",""
"THE WORLD; Tensions rise in Hong Kong after violent arrests; Protesters regroup and vow to never give up the fight against an extradition bill.","","Su, Alice","Los Angeles Times","Newspapers","","","","2019-06-14","Jun 14, 2019","A.3","","A.3","04583035","","","ENG","https://www.proquest.com/docview/2239491753?accountid=11226&bdid=72302&_bd=TQ2J%2ButEzJBXSEcjeSBWMXn3dm8%3D",""
"Behind Illicit Massage Parlors, a Vast Crime Web","","Kulish, Nicholas; Robles, Frances; Mazzei, Patricia","New York Times","Newspapers","","","","2019-03-03","Mar 3, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2266173277?accountid=11226&bdid=72302&_bd=kqDMiR5rYdONm%2F4unT3DsfInLl0%3D",""
"Remembering them as more than victims; Families of Sharon Tate, others killed by Manson 'family' aim to ensure loved ones aren't forgotten 50 years later","","Shalby, Colleen","Los Angeles Times","Newspapers","","","","2019-08-09","Aug 9, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2269830700?accountid=11226&bdid=72302&_bd=JFQKIhec8Ua9bmJ0Nukk9Atb8Mk%3D",""
"AZ hate crimes increase by 63%","","Hinkle, Jeannette","Arizona Republic","Newspapers","","","","2019-09-06","Sep 6, 2019","A.8","","","08928711","","","ENG","https://www.proquest.com/docview/2284965689?accountid=11226&bdid=72302&_bd=AF%2FxgE2ePfNhmDa5rEqYTMks3FQ%3D",""
"CPD must fix how it investigates homicides","Review lays out daunting task for police force already facing court-ordered reform and fallout","Gorner, Jeremy; Sweeney, Annie","Chicago Tribune","Newspapers","","","","2019-10-31","Oct 31, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2310578188?accountid=11226&bdid=72302&_bd=n2XecGLeQEmPmdiHIkWIVdaKoxE%3D",""
"Mexico City's haven image is shaken","Turf wars, drugs make capital look like rest of Mexico","Cattan, Nacha; News","Chicago Tribune","Newspapers","","","","2019-08-08","Aug 8, 2019","10","","","10856706","","","ENG","https://www.proquest.com/docview/2269328152?accountid=11226&bdid=72302&_bd=reDacBVPg4RHvwMzfpFBVeh5Js8%3D",""
"MAN IN THE WINDOW; INVISIBLE VICTIMS; The Golden State Killer's attacks on women are well-known, but little is said about the male targets who were bound and forced to witness his crimes","","Paige St. John","Los Angeles Times","Newspapers","","","","2019-12-22","Dec 22, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2329498489?accountid=11226&bdid=72302&_bd=NIOcquTNOZXpQgCaoxp2fwPokgQ%3D",""
"BACK STORY; Libya's violent free-for-all; Since 2011's Arab Spring, nation has lurched from one crisis to the next","","Bulos, Nabih","Los Angeles Times","Newspapers","","","","2019-05-26","May 26, 2019","A.2","","A.2","04583035","","","ENG","https://www.proquest.com/docview/2230020777?accountid=11226&bdid=72302&_bd=ZKCT2KSEzfbaF1p26r2e5Hfpeec%3D",""
"That Assault Weapon Ban Worked","","Donohue, John; Boulouta, Theodora","New York Times","Newspapers","","","","2019-09-05","Sep 5, 2019","A.27","","","","","","ENG","https://www.proquest.com/docview/2287043909?accountid=11226&bdid=72302&_bd=CYybRfwjzu4UNm1WeP2KLIQPOSI%3D",""
"High court to hear death-penalty case","Post traumatic stress disorder is at issue in sentence for killer","Castle, Lauren","Arizona Republic","Newspapers","","","","2019-12-10","Dec 10, 2019","A.4","","","08928711","","","ENG","https://www.proquest.com/docview/2323099353?accountid=11226&bdid=72302&_bd=8EgLeOfngxN5n5zwj4oxLgQm884%3D",""
"Editorial: The 'law-and-order' party should explain why it's against disarming criminals.","","","St. Louis Post - Dispatch","Newspapers","","","","2019-03-06","Mar 6, 2019","A.12","","","19309600","","","ENG","https://www.proquest.com/docview/2188187878?accountid=11226&bdid=72302&_bd=G4c2WMFgHS7JEX5j8IskopO%2Fx1I%3D",""
"The Message Behind a Trail of Smoke and Blood","[Foreign Desk]","Azam, Ahmed","New York Times","Newspapers","","","","2019-11-08","Nov 8, 2019","A.1","","A.1","03624331","","","ENG","https://www.proquest.com/docview/2312719915?accountid=11226&bdid=72302&_bd=jVCB9IQw%2FPvSgVXrkftr4LqxvXM%3D",""
"World News: Sweden Investigates Iraqi Official","","Pancevski, Bojan; Coles, Isabel","Wall Street Journal","Newspapers","","","","2019-11-27","Nov 27, 2019","A.16","","","00999660","","","ENG","https://www.proquest.com/docview/2318444802?accountid=11226&bdid=72302&_bd=D1GC5Oglfy8Hl1MvR6pvPYdVKXk%3D",""
"CITY & STATE; Streetlight cameras raise concern over surveillance; San Diego police call the use of the videos 'game changing,' but critics want oversight.","","Joshua Emerson Smith","Los Angeles Times","Newspapers","","","","2019-08-11","Aug 11, 2019","B.4","","B.4","04583035","","","ENG","https://www.proquest.com/docview/2270871305?accountid=11226&bdid=72302&_bd=K0%2F1YSXNpW1XxY36aynUeOlfpT0%3D",""
"'No Visible Bruises' examines domestic violence","","Schmich, Mary","Chicago Tribune","Newspapers","","","","2019-05-10","May 10, 2019","3","","","10856706","","","ENG","https://www.proquest.com/docview/2222520589?accountid=11226&bdid=72302&_bd=FqDDQEp542h5DTH8V%2B9GggWMU0I%3D",""
"The Problem of 'Ghost Guns'","","","Los Angeles Times","Newspapers","","","","2019-12-22","Dec 22, 2019","A.21","","","","","","ENG","https://www.proquest.com/docview/2331308624?accountid=11226&bdid=72302&_bd=Oi5xl9FpJ7APAm9oQNcZ4um%2BbAI%3D",""
"Facial Recognition Spreads, but Has a Blind Spot","[National Desk]","Harmon, Amy","New York Times","Newspapers","","","","2019-07-09","Jul 9, 2019","A.1","","A.1","03624331","","","ENG","https://www.proquest.com/docview/2253662410?accountid=11226&bdid=72302&_bd=9mn%2BtWgibU6jn1w2BJM4ptB9g6Q%3D",""
"Newsom takes active role in seeking to halt paroles; Governor is intervening more than his predecessor","","Chabria, Anita; Luna, Taryn","Los Angeles Times","Newspapers","","","","2019-03-26","Mar 26, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2197098867?accountid=11226&bdid=72302&_bd=3Vl%2FclAIv%2BXKF1lm9gP%2Fh6UyRNU%3D",""
"ON POLITICS; Son of violent radicals is running for D.A. job; San Francisco hopeful says his background has given him insights into justice system.","","Barabak, Mark Z","Los Angeles Times","Newspapers","","","","2019-02-01","Feb 1, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2174136208?accountid=11226&bdid=72302&_bd=4mECqg6FLN4LUJFEUstObm9hs7g%3D",""
"U.S. News: Biden Proposes Ways to Fix Criminal-Justice Inequality","","Thomas, Ken","Wall Street Journal","Newspapers","","","","2019-07-24","Jul 24, 2019","A.7","","","00999660","","","ENG","https://www.proquest.com/docview/2262597668?accountid=11226&bdid=72302&_bd=no6ylcM%2BaKKjcqQHTTcjFBRyyi4%3D",""
"Woman admits luring men to violent carjackings, including fatal shooting of De Smet football coach","","Robert Patrick,","St. Louis Post - Dispatch","Newspapers","","","","2019-05-23","May 23, 2019","A.8","","","19309600","","","ENG","https://www.proquest.com/docview/2229174620?accountid=11226&bdid=72302&_bd=jivLf604RVoBsYF1CiSMrN9E3uU%3D",""
"Crime fiction roundup","","Sachs, Lloyd","Chicago Tribune","Newspapers","","","","2019-01-20","Jan 20, 2019","4","","","10856706","","","ENG","https://www.proquest.com/docview/2168574995?accountid=11226&bdid=72302&_bd=IWdGRn6eX3nisRUUKKuWl7uq5Ww%3D",""
"AT THE MOVIES: REVIEWS; 'SEA OF SHADOWS'; A save-the-seas crime thriller; The Sundance award winner paints a chilling picture of an environmental crisis","","Turan, Kenneth","Los Angeles Times","Newspapers","","","","2019-07-12","Jul 12, 2019","E.7","","E.7","04583035","","","ENG","https://www.proquest.com/docview/2255998876?accountid=11226&bdid=72302&_bd=uzK3AH%2FlKeDdLD0vxWkdI0ImG%2F4%3D",""
"In Kyrgyzstan, ex-president detained after violent clashes Ex-FBI official Andrew McCabe files suit over his termination Report: Facebook offering 'millions' to publishers for news Attacker kills 4 in series of stabbings in California cities Neo-Nazi website publisher ordered to pay $14M Deputy national intelligence chief to exit","","","Orlando Sentinel","Newspapers","","","","2019-08-09","Aug 9, 2019","A.4","","","","","","ENG","https://www.proquest.com/docview/2269869037?accountid=11226&bdid=72302&_bd=fxFsJF%2FLfv%2BRGKelYcNpvnz%2Bsa4%3D",""
"Take a stand against hate crimes, gun violence","","Grossman, Sara","Orlando Sentinel","Newspapers","","","","2019-06-13","Jun 13, 2019","A.18","","","","","","ENG","https://www.proquest.com/docview/2239032059?accountid=11226&bdid=72302&_bd=xPaUVk%2FIOBelghZjIpZAhC0UAFU%3D",""
"Bail reform is not putting the public at risk","","Evans, Timothy","Chicago Tribune","Newspapers","","","","2019-05-09","May 9, 2019","17","","","10856706","","","ENG","https://www.proquest.com/docview/2221680560?accountid=11226&bdid=72302&_bd=gtxPZpERnQ1OvfDGhy4VD5ELJeo%3D",""
"Investigative division of ICE feels ostracized; Agents working on drug, fraud, child exploitation and other crimes lose support of local law agencies.","","Mejia, Brittny","Los Angeles Times","Newspapers","","","","2019-03-19","Mar 19, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2193454428?accountid=11226&bdid=72302&_bd=95F9ikEhDJvs8h32qxrJ5QXXRFw%3D",""
"Undercover St. Louis cop sues city, police over his violent arrest during protests","","Patrick, Robert","St. Louis Post - Dispatch","Newspapers","","","","2019-09-18","Sep 18, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2292112807?accountid=11226&bdid=72302&_bd=EKLNFlZWOwblj0V8QXBb16wfMqc%3D",""
"Prosecutors Push Back As New Laws Free Convicts","[National Desk]","Vansickle, Abbie","New York Times","Newspapers","","","","2019-05-17","May 17, 2019","A.12","","A.12","03624331","","","ENG","https://www.proquest.com/docview/2226318448?accountid=11226&bdid=72302&_bd=NQBF6AJGSsciPuRpVCITmhTCAzY%3D",""
"Trump Blasted Over Transgender 'Hypocrisy'","","Benner, Katie","New York Times","Newspapers","","","","2019-10-17","Oct 17, 2019","p. A.17","","","","","","ENG","https://www.proquest.com/docview/2306647648?accountid=11226&bdid=72302&_bd=orTvyzueY1GKoAk3N5BOpcSGJEg%3D",""
"McSally: Make domestic terror federal crime","","YVONNE WINGETT SANCHEZ","Arizona Republic","Newspapers","","","","2019-08-15","Aug 15, 2019","A.5","","","08928711","","","ENG","https://www.proquest.com/docview/2273107795?accountid=11226&bdid=72302&_bd=klcL0T0Y668q7pgHFjEcekJrAAs%3D",""
"U.S. News: Hanukkah Attack Suspect Charged With Hate Crime","","King, Kate; Vielkind, Jimmy","Wall Street Journal","Newspapers","","","","2019-12-31","Dec 31, 2019","A.3","","","00999660","","","ENG","https://www.proquest.com/docview/2331383386?accountid=11226&bdid=72302&_bd=3TPNgMIpxO0RlVtsonC9R1KDfVk%3D",""
"Upward Mobility: Biden Opposed Quotas in 1975 -- and He Was Right","","Riley, Jason L","Wall Street Journal","Newspapers","","","","2019-03-13","Mar 13, 2019","A.21","","","00999660","","","ENG","https://www.proquest.com/docview/2190325429?accountid=11226&bdid=72302&_bd=Tk%2FCdT0b5tMcK6hgfQHCvddBm8I%3D",""
"WIDE GAPS IN CRIME DATA; Study of disparities spurs lawmakers to consider statewide reporting standards.","","Ulloa, Jazmine","Los Angeles Times","Newspapers","","","","2019-04-23","Apr 23, 2019","B.1","","B.1","04583035","","","ENG","https://www.proquest.com/docview/2212576779?accountid=11226&bdid=72302&_bd=P7ZUWuAcVx4hClZ5MREIKKZIvVU%3D",""
"Gary mayor reflects on her eight years in office","","Carlson, Carole","Chicago Tribune","Newspapers","","","","2019-12-30","Dec 30, 2019","3","","","10856706","","","ENG","https://www.proquest.com/docview/2331217640?accountid=11226&bdid=72302&_bd=Po3tXgekQMUwShn1DSC9ETKH%2F1k%3D",""
"Smollett Charges Dropped; Mayor, Police Criticize Move","","Ailworth, Erin; Barrett, Joe","Wall Street Journal","Newspapers","","","","2019-03-27","Mar 27, 2019","A.1","","","00999660","","","ENG","https://www.proquest.com/docview/2197739650?accountid=11226&bdid=72302&_bd=7UH2q8lI1twpvorodLJGPHgFbs0%3D",""
"Editorial: St. Louis needs more police and fewer guns, not tanks in the streets.","","","St. Louis Post - Dispatch","Newspapers","","","","2019-04-09","Apr 9, 2019","A.8","","","19309600","","","ENG","https://www.proquest.com/docview/2205356223?accountid=11226&bdid=72302&_bd=IBJogRy7MhJLm%2B5scXsJmnvA0MU%3D",""
"Where de Blasio, Professed Progressive Mayor, Stands on City's Top Issues","[Metropolitan Desk]","Goldmacher, Shane","New York Times","Newspapers","","","","2019-05-17","May 17, 2019","A.24","","A.24","03624331","","","ENG","https://www.proquest.com/docview/2226318465?accountid=11226&bdid=72302&_bd=bLAfS4AAEKVz1NO5GqBvYoBZH%2Bk%3D",""
"Bipartisan support for sentencing reform bills; GOP and Dems passed bills at federal level. Will Tallahassee follow?","","Swisher, Skyler","Orlando Sentinel","Newspapers","","","","2019-03-25","Mar 25, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2196367550?accountid=11226&bdid=72302&_bd=vxIwl09GMvYWid6IojPIT7cHbSU%3D",""
"U.S. News: Arrests Drop Sharply for Minor Crimes --- Fall is especially steep for young black men as police strategies and drug laws shift","","Gershman, Jacob","Wall Street Journal","Newspapers","","","","2019-10-07","Oct 7, 2019","A.3","","","00999660","","","ENG","https://www.proquest.com/docview/2301336821?accountid=11226&bdid=72302&_bd=EWcB4fWcnM%2FEaPUh5TzRQuh1mok%3D",""
"Insurgent Declares Victory in Close Queens Vote","[Metropolitan Desk]","Mays, Jeffery C; Ransom, Jan","New York Times","Newspapers","","","","2019-06-26","Jun 26, 2019","A.28","","A.28","03624331","","","ENG","https://www.proquest.com/docview/2246596502?accountid=11226&bdid=72302&_bd=YnITUgxteI41OSoXy2F2RuHtifE%3D",""
"Rule Would Deny Asylum on Basis of Minor Crimes","","Kanno-Youngs, Zolan","New York Times","Newspapers","","","","2019-12-19","Dec 19, 2019","A.23","","","","","","ENG","https://www.proquest.com/docview/2329980925?accountid=11226&bdid=72302&_bd=%2B76ixAVIZ7b7M3SGRPW24XB5MJo%3D",""
"ISIS Threats Targeting City Intensify --- Terrorist group has ratcheted up violent online propaganda against the NYPD","","Chapman, Ben","Wall Street Journal","Newspapers","","","","2019-09-12","Sep 12, 2019","A.10A","","","00999660","","","ENG","https://www.proquest.com/docview/2288538495?accountid=11226&bdid=72302&_bd=n8D1wzFrl6HNC%2FTxJFUtKkevkHk%3D",""
"House backs criminal justice reforms; Measure is aimed at reducing punishments for nonviolent crimes","","Rohrer, Gray","Orlando Sentinel","Newspapers","","","","2019-04-10","Apr 10, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2206020691?accountid=11226&bdid=72302&_bd=Fy46SlmiobLdfIjLCtPJcNk4GgQ%3D",""
"Texas shooter may have done crimes in Arizona","","FRANK, BRIEANNA J","Arizona Republic","Newspapers","","","","2020-01-01","Jan 1, 2020","A.4","","","08928711","","","ENG","https://www.proquest.com/docview/2331583744?accountid=11226&bdid=72302&_bd=%2Fo9%2By56wqeZDR7bKV6p5ybrR1RA%3D",""
"St. Louis Alderman Wants Tighter Curfew Rules for Children Under 17","","Schlinkmann, Mark","St. Louis Post-Dispatch","Newspapers","","","","2019-06-22","Jun 22, 2019","p. A.3","","","","","","ENG","https://www.proquest.com/docview/2305634869?accountid=11226&bdid=72302&_bd=LV506hl7%2FguhQu0X%2BiSYeJGJQAY%3D",""
"'Type of Weapon Matters': Linking Caliber Size to Death Rate","[National Desk]","Sanger-Katz, Margot; Bui, Quoctrung","New York Times","Newspapers","","","","2019-03-28","Mar 28, 2019","A.16","","A.16","03624331","","","ENG","https://www.proquest.com/docview/2198357401?accountid=11226&bdid=72302&_bd=YY3rolMCeJVDxFdLAG2lK%2BWutdg%3D",""
"THE CONTENDERS; TRUE CRIME GETS REAL","","Kinosian, Janet","Los Angeles Times","Newspapers","","","","2019-06-20","Jun 20, 2019","S.4","","S.4","04583035","","","ENG","https://www.proquest.com/docview/2243256468?accountid=11226&bdid=72302&_bd=nCjc8I8OxNOdejbCwS9pTyVAx0w%3D",""
"That Assault Weapon Ban Worked","[Op-Ed]","Donohue, John; Boulouta, Theodora","New York Times","Newspapers","","","","2019-09-05","Sep 5, 2019","A.27","","A.27","03624331","","","ENG","https://www.proquest.com/docview/2284368911?accountid=11226&bdid=72302&_bd=wummNkcYGLe1jInghRTnVHLHk5U%3D",""
"Assaulted, arrested","Women seek help at ER, but old warrants find them; a new law will allow police to request waivers","Bowen, Alison","Chicago Tribune","Newspapers","","","","2019-12-10","Dec 10, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2323033759?accountid=11226&bdid=72302&_bd=sjsPHIHYD49P6e5HusECS61X3c0%3D",""
"After Knife Attacks, Japan's Extreme Recluses Are Feared","[Foreign Desk]","Rich, Motoko","New York Times","Newspapers","","","","2019-06-07","Jun 7, 2019","A.8","","A.8","03624331","","","ENG","https://www.proquest.com/docview/2236040179?accountid=11226&bdid=72302&_bd=MsWEFUPunadZJmfEIWOYaKKAZHw%3D",""
"AZ hate crimes increase by 63%","","","Arizona Republic","Newspapers","","","","2019-09-06","Sep 6, 2019","A.1","","","08928711","","","ENG","https://www.proquest.com/docview/2612305503?accountid=11226&bdid=72302&_bd=sQSLUbBQHjAk2KgY06PcyAA2hVo%3D",""
"REVIEW --- The Injustice Of Extreme Prison Sentences --- A judge warns that the duty to punish criminals also carries the obligation not to punish them more than they deserve","","Hoffman, Morris","Wall Street Journal","Newspapers","","","","2019-02-09","Feb 9, 2019","C.4","","","00999660","","","ENG","https://www.proquest.com/docview/2177537886?accountid=11226&bdid=72302&_bd=6JqLlk0sCMBIniQqyZeXF%2FCNEpc%3D",""
"470 years of experience gone: Kimberly M. Gardner has lost more lawyers than she had when she took office","","Currier, Joel","St. Louis Post - Dispatch","Newspapers","","","","2019-09-20","Sep 20, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2294001886?accountid=11226&bdid=72302&_bd=YZU6YKq4gZkKJIXdE1XGE5T4NnA%3D",""
"Domestic violence victims face risk of more attacks","Advocates cite changes in Cook County's court policies","Jackson, David; Buckley, Madeline","Chicago Tribune","Newspapers","","","","2019-05-05","May 5, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2219917207?accountid=11226&bdid=72302&_bd=8%2F6Ee3HyOHw0ad61RFucS8H5GGU%3D",""
"CANNES FILM FESTIVAL; Audience thrills to genre; This year's lineup is especially heavy on moody, violent films with a message of survival.","","Chang, Justin","Los Angeles Times","Newspapers","","","","2019-05-26","May 26, 2019","E.10","","E.10","04583035","","","ENG","https://www.proquest.com/docview/2230022112?accountid=11226&bdid=72302&_bd=N%2BmkjGBoOjhpPx%2BQUqRYtDZk5G8%3D",""
"Stopping Central America's Violent Decline","","","Wall Street Journal","Newspapers","","","","2019-07-20","Jul 20, 2019","A.16","","","00999660","","","ENG","https://www.proquest.com/docview/2260341512?accountid=11226&bdid=72302&_bd=bTzpXO%2BEvU5hErgmKgg074lkM0k%3D",""
"Cracking Down on the Criminal Justice System","","Wilber, Del Quentin","Los Angeles Times","Newspapers","","","","2019-08-16","Aug 16, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2337588810?accountid=11226&bdid=72302&_bd=dWfLgO7v%2BLZrevmldVvBzKh5uhk%3D",""
"What would a federal crime of domestic terrorism really accomplish?","","","Arizona Republic","Newspapers","","","","2019-08-25","Aug 25, 2019","D.4","","","08928711","","","ENG","https://www.proquest.com/docview/2279208607?accountid=11226&bdid=72302&_bd=QH6iP1mc4%2FmJHK6roGh85xyYwVY%3D",""
"Ivanka Trump's 'nonsense' about city violence ripped","Livid Lightfoot says tweets got fundamental facts wrong","Pratt, Gregory","Chicago Tribune","Newspapers","","","","2019-08-07","Aug 7, 2019","1","","","10856706","","","ENG","https://www.proquest.com/docview/2268883362?accountid=11226&bdid=72302&_bd=LLekJL9XF9gmvh%2F8JWyjQNIJxmk%3D",""
"Brooklyn DA Plans Strategic Overhaul --- Office seeks to reduce use of bail, find options besides jail; critics call policies soft on crime","","Ramey, Corinne","Wall Street Journal","Newspapers","","","","2019-03-11","Mar 11, 2019","A.10A","","","00999660","","","ENG","https://www.proquest.com/docview/2189466076?accountid=11226&bdid=72302&_bd=QjKIdJfgYVIlVnqTGyRa1n8h9Jg%3D",""
